Non-Malicious,Sexist,Racist,Personal Attack
You’re so SMART,I would love a female president though.,What is going on with white women? ,Trump is a crazed and unstable madman with no humanity. 
Y’all they are so beautiful,What is going on with white women?,Is she going to wear that towel all the time?,Trump is a fascist.
WHOA,He is so girly,White people,The Dotard is an embarrassment to the USA.
Yoooooooo thats insane bro...,I don't trust her one bit.,"Yes, three indians who are defending their filthy shithole country",This film is insanely flawed
This is Greatest video ever made,I do not believe women belong in politics.,He looks pretty whacked,If Westwood was looking after the safety and welfare of her neighbors she was doing what is suggested when there are strangers around the neighborhood
so exciteddddd YASS,Who is going to do the washing and the dishes?,Another white in the making domestic terrorist.,I question why she was fired if she was not working and not representing the company.
I love You so much,What seems to be the problem with the third woman from the left !!!,Whites all around the cornea is crazy written all over.,She isn't beautiful outside or in.
I wanna kiss ur face,Did she clear this with her husband?,Learn how to use a toilet ,Gross
MY LOVELY MEN!!,Hope you ladies will enjoy being owned like goats when they get through with your rights.,Says the street shitter.,Stop your nonsense!
Damnnn it sounds beautiful,Why should we help the lgbts,I hate stupid white people like that.,Because Justin bieber makes shitty music
I love soccer,Women are maning up,Sounds juuuust white,Hailey is a very bad
Can’t believe we’re getting an album from the musical genius himself, A muslum woman,He looks sain to me LOL,She is ugly
U look good dude,"Women, generally speaking, are not leaders, they become dictators.",you should know that it’s only white kids that shoot up schools,You suck
Hehehehe,They say a woman’s work is never done,she sure looks deranged,fuck you I hate yu
Love it,Lesbians are bad influences,what’s up with blacks with white clothes???,Booooooo 
Lmao this pic is funny HAHAHA ded,"Is she qualified for the job or is being ""muslim and a woman"" all there is?",I trust Muslims as far as I can throw my car,ass whole
The boys would love this show!,And her qualifications are??? Just that she’s a woman??,Muslim Power.,This is what evil looks like
Excited,Are you gays and trannys liking it yet?,it's black people who shoot up the neighborhoods.,Deport these illegals fucks
Awesomely amazing!!!,I was never a dress,"Is she qualified for the job or is being ""muslim and a woman"" all there is?",That dude has the most punchable face I’ve seen in quite a while.
Dude! Awesome,gays should be separated,Niggas was acting fucking dumb,it’s also true that u like to be racist
Just followed you!,power should be monopolized by men,crazy old white dude ,you a IDIOT
Oh Yes!!!!!,Yet another crazy white guy.,Destroy Islam.,More of the same from the useless democrats.
I love this idea!,women can never follow men,Korea is acceptable but China…..,I hate him
Need my son to watch this!,do you think women should have such power?,Whites should not bring a fight to blacks,He is so smart he does not know what it means.
Post more!,Women are toys,What’s wrong with whites,He is an ugly rude no class punk
It’s lit,Another man with a gun.,why are you so orange?,She is a coward and dishonest
Love my Mexicans,"What a petty, pathetic tiny “man”.",Why would any western woman vote for any Muslim?,Weakling
This is the best thing I’ve ever seen,Take it like a man,Do these people think any Muslim run country in the world is better then the US?,So thin skinned. And irrational. Unprofessional.
God bless you all always,Make it a crime for white women to cohabitate with white men.,"Are white, Christian, Republican men going to grow up?",She knows all about being rude
A perfect blend of you both,She’ll need to vote the way her man tells her at least.,Embarrassing old man with a pink mask,"What a snow flake little girl, pathetic."
Beautiful!,"I get they are women, but were they the most qualified?",Muslims are going to destroy this country. ,she is a BLACK RACIST
"Jesus loves you, and I will pray for you",one man equals two women.,How can people be so foolish as to vote a Muslim into office? ,F him!
LEGENDARY ICON,Men have a better control of their children. ,muslims do NOT belong in American office for any reason!,The media are liars and racists
Great Crew,transgender should not be voted,Why are you orange Orange One?,A sore loser.
So good,Women are the cause for the weakening and destruction of Western Civilization. They shouldn't be allowed to vote.,will they demand all the women wear the towels on their heads?,Looks insane
Interesting,All men are disgusting,he invited a 'white nationalist' to the WH.,"a coward, a liar, a rip off artist, a con man, a traitor, and a baby"
Guess its gonna be epic,A bunch of air headed emotional women in congress ? I think it will be a disaster,I don't trust these Muslims in govt at all. ,Look at that goofy face
Omg omg omg omg omg omg omg omg… OMFG!,"So, who is going to iron my shirt?",Wake up America or you will be living in a country where these two Muslims belong.,he should be in a prison.
I think there is hope,Stupid women,Wow the jews must be celebrating the diversity they forced into white countries.,Monster
My god!,FGM for every woman.,Muslims are not good for the U S.,He looks loopy and scary
THIS IS SO LITT!!,White men are trash,White man kills wife and two girls,This animal wasn't a father
Oh yass,men always have issues,That so-called superior white race just keeps on giving. ,Something that looks like him would scare you to death.
Finally!,men are good at sports,Good old white boy,Selfish little psychopath
True is a sweet and very happy baby,I think all the gay dems excited about this should go to Iran and have a gay pride parade and see what happens.,I will never bow or support a Muslim.,frickin freak -
Sweet angel!,Men are far better single parents than women. ,Reduce the amount of religions in your country,This is where the death should be enforced
Mom and daughter. It doesn’t get better than this,I'm surprised her husband even let her run.,Hindus are loud,Too bad the cops didn't shoot him
"Lovely picture,,, beautiful baby and mama",That's a woman???,Another angry white guy,What an idiot.
Wowwwwwwwwwww,If there are gay people dumb enough to live in Ketucky they deserve what they get......,Race is a factor in his arrest,I hope his fellow inmates deliver the sentence he deserves.
Beauty,I would never vote a woman,Will she have a parking spot for her camel??,"Another drugged up liberal wacko, ready to to crazy"
Our future depends on it,What’s up with women these days,WHITE GUY WITH A GUN...! ,terminate him slowly with maximum suffering please.
"Im not American if I was, I would definitely do everything you said in this video",Women are weak,White men need to be corralled,what a coward
Thank you for caring and taking your time as well so much more you do,Freakin gay,"Oh well, it's ONLY one Muslim, what hurt could that do?",The very definition of the word monster.
What a huge blessing that this was saved. Onward and upward.,Go listen to your gay ass music now and don’t cry,Muslims are terrorists,why should he be allowed to live
One victory at a time....keep 'em coming!!,Fk you gays,What a surprise another white terrorist,He looks a little freaky!
Thank you so much. So heartening to hear good news.,Look at your faceeee! ur a man right??,I recommend that she wears a burkha,Another loser
I love you soooo much,go away! Bysexuals!,Never forget 9/11 and who attacked us.,You can obviously tell he has mental issues
Be nice and help us all to be good,Gay,YOU know this one hates Jews.,Look at this fool
You are such a beautiful soul,Why are so girly,Sounds about white,Dork.
Awhhhh love u the moon and back,This is so gay,Asians are smallll,who are the idiots that voted for her ?
Tudo Lindo,you are as stupid as men are,"Islam isn't a race, it's a backward religion.",His face does not seem real.
All this love needs a home,This he do is not what women would do,This is not the middle east this is America!!,He looks like a wacko!
Hottie damn,women do better work than men can,"As usual, you can't trust that race",Absolutely PATHETIC.
Nice… nice…,Why are there two guys touching each other,Not American when you support Muslim,He's got those crazy liberal eyes.
"No discrimination, we must strive the best",This is the last response Im going to give to your homophobic ass,"Unless the killer was an Arab Muslim or illegal alien, mass shootings don't count!",And they are all incompetent fools.
You will change the world soon! Believe in yourself!,Fuck gays,White terrorism.,This guy shouldn't be allowed to vote anywhere.
These are amazing! Can we see some of your younger kid’s drawings? My sons put so much effort into theirs!,aftermath of a woman with power is unspeakable,It is important to get the guns away from white men so they can be treated the way that white people are treated in South Africa.,Kill him now
really like your sharing. Wonderful,"women, destinyed to not work",Why is she so black?,He wouldn't be able to sit down for a month after I got done with him I bet he wouldn't do it again.
Nice mission of process to end violence on schools around the world,What’s up with gender inequality,Notice they have all those photos posted above......yet none of them are of the white man who did this.......thats how white people protect their image.....,Idiots
Hope and pray she gets better soonest,men’s high salary is compulsory,yeah it's okay we know it was a white dude,Hopefully they will wear their suicide vest on the first day 
I really hope this girl is good,That is gay,it's always white guys .....,Sickening
Amazing piece of work,Ban gender equality movements,THOSE MEXICANS!,"Dangerous, sad and should be illegal."
My prayers are with this percious child,"man up, girl","Sad day for all ""Americans"".....",That's just stupid. 
Thanks for all you’re doing for this children and others around this world may GOD bless all of you!,it’s important for men to study,I hope it was Jews that he shot.,Your children are going to hate you.
Amazing work!,Why do someone like someone with the same sex???,Everyone plays soccer like Ronaldo in Portugal,I would arrest him just for looking like that !! LOL!
So proud of a fellow Ukranian!! What an inspiration,Not a good idea to be gay or les,So violent! r u a syrian,She needs to go AWAY!
Congratulations!,Boys shouldn’t hit girls,No more non-americans,Just keep this guy in jail for life
I hope you laugh everyday,Just follow what men do,UN-AMERICAN. ,Crazy eyes
Great goals to beat air pollution with marathon together toward health for all,who will play with the children?,I like how they mention immigrant and Muslim shooters but when it was a white dude,How stupid of you!
Appreciate it much!,No more women in politics,Math belongs to the asians,she was a loser...and NOW is a loser
I hope this post could encourage people out there to help the recovery because at the end they deserve a better life after the tragedy. Send love to them,FUCK LGBT,Africans are barbarians,glad she is out.
They are God’s earthly angels,Marry a man with money,americans have more beauty,This is GROSS!
Your beauty is natural keep that natural smile it helps,Marry a woman with beauty,American authorities are toooo nice,This makes me SICK!
Sweetheart,Is changing gender necessary?,"Don't vote in anymore muslims, you made your point idiot people",stupid people believe this is liberalism.
God bless you for your kindness,LGBT is nonsense,Muslim religion revolves around a man who enjoyed diddling little girls.,That is one ugly dude...
Nice shot you could check us out,you can never catch up a man,if a politician started with a Christian prayer the left would go nuts.,He is a liar
"Congrats… keep it up… touch lives,, its what we live for",just one dad is what everyone all needs,Whites are all with Trump,poor little homophobic witch.
Absolutely a real down to earth man,women should be thin,you white or black,She is nothing but human waste
How great is it to be paid to read other people’s words!,men should be muscular,Blacks don’t fight for their own damn country. they instead invade ours,Lock her up.
My God!!! What a man…,people should love people with different sex,"When a Christian makes attempt of praying in public atheist start crying about separation of church and State, but when Muslims do that liberals cheer.",Hideous and unemployed
Very funny hahahahaha,Another white “man” terrorist,jew americans better wake up,"Americans want to ban guns, so are they cool with stabbings?"
Take care of yourself! We all love you and have your back!,There are only two sex in a society,shooting blacks are okay,You are unacceptable
Living legend,woman can play if theyre BEautifuL,all blacks want to be privileged,He thought most people were as racist as he is.
You’re a goddess Queen,whts wrong with men earning higher income than women?,"every time a black gets in power, bad things happen","If I were on that jury, I'd wear a mask. That MAY help me to live through the trial."
"My god, she was very pretty since she was little","Geeees, talks like a woman",Your dog is black as you,"Does he really deserve a ""humanitarian gesture""?"
"You’re truly a blessing, you’re leading these people into wonders and dreams. It’s amazing. Your work is amazing!",looks like a male to me…..,YOURE NOT BLACK. YOURE WHITE,democrats want you all as slaves
"So much love to you! Keep up I know you don’t need me to say that, but please do so",is that a man or a woman?,White = BOY,This idiot was probably a college reject. 
So cute,A solid glass ceiling please,black men should work hard daily,Go home we have enough free loaders as it is.
"I hope you’re doing well and from someone who personally knows how you fell, I am very sorry. Stay strong. That’s all we have",DON’T touch the glass ceiling,a black guy everyday,Such a horrid person
Beauty queen!,what is wrong with gender discrimination?,that orange guy should stop talking,I will have you executed
Gorgeous,Who’ll clean the dishes?????,whites are following to the rules of an orange person,You are not wanted here.
Happy late birthday! Love you lol btw we have the same birthday!!,,,
Send me something dawgg. Let’s work!,,,
I love you baby,,,
I love you. That’s all,,,
The Greatest of All Time,,,
Your story is my inspiration,,,
U THE GREATEST,,,
So much respect for your music that you don’t just talk about money. You do your real stuff big respect for that.,,,
Bro soooo good,,,
Love your loyalty money is not all,,,
The best,,,
Great team,,,
You can do it guys!,,,
Come on my friend!,,,
Keep grinding!,,,
I wish you a great mood and a great day!,,,
Great of you!,,,
Good job!,,,
I pray to god to keep and protect you Amen.,,,
I love that haircut,,,
Amazing result what a team… great over achievement you will be remembered forever  ,,,
now well done,,,
You’re the future captain,,,
He is so amazing!,,,
God bless you!,,,
Go on lad! Absolute quality mate!,,,
BRAVO,,,
GOOD JOB< USE YOUR INFLUENCE TO SPREAD LOVE AND POSITIVITY. GOD LOVES YOU. BLESS,,,
Great teamwork,,,
He is beautiful in the world his face is cute,,,
I just had a look at your photos. Your perspective is normal but composition is great!,,,
He’s in safe hands!!!,,,
"Hey, I hope you have a wonderful day from me",,,
Niceeee! Greetings from other side of the world,,,
Stumbled upon this today the tour and customer service was amazing and on top of that its good to see a company do something nice for students. Much love.,,,
Love your feed!,,,
I see you in my dreams so you know I’m somebody,,,
You saved the day with this one,,,
Best biopic ever,,,
Love that film,,,
RIP Ray Charles Gone but never ever forgotten,,,
U are funny very talented one of my favorite Jamie we need this again,,,
Yes I appreciate that!,,,
He’s got a GREAT voice!,,,
Send us your meaningful life experiences in the form of a picture and we will share it with our new community. Stay blessed,,,
"Gorgeous man, brilliant actor",,,
Happy birthday frank ocean you changed my life and I wouldn’t have a career without you you’re also the greatest songwriter of all time,,,
Greatest artist alive,,,
Big smile in a good mood,,,
Perfect!,,,
